filepath,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy
00g8dfgpqpt61_processed_0,10.0,2.071883947563355,NA,NA,0.1,108.59194448961594,76.42912564569009,355.3546493437983,517.8991502593476,0.19337065661431932,0.0390746807118296,-0.09153418528128276,1711.3575072175406,0.17496189092839873
00g8dfgpqpt61_processed_1,10.0,1.5486847377270532,NA,NA,0.1,107.10847997486047,78.20733929660508,409.030437869653,491.53796013014096,0.20219900908171182,0.049623281966597516,-0.09076031044068428,1469.3736101357679,0.26352094744982607
00g8dfgpqpt61_processed_2,9.973015873015873,2.202972907443751,NA,NA,0.10027073097362879,110.00393444391193,77.65010159292858,393.605327798918,511.0807786423139,0.200674478660561,0.0383517186672096,-0.1166764615051223,1287.5389891661453,0.23145285626175852
01avx2fm1t961_processed_0,10.0,4.541632414503538,NA,NA,0.2,100.03720140547364,67.43214192396293,358.0216683482179,448.48925261038227,0.2015829872008416,0.03554352397526298,-0.010975252055605074,1251.5581109550562,0.022047480365091663
01avx2fm1t961_processed_1,10.0,3.7908014510203873,NA,NA,0.2,98.0410811980216,63.570349029127904,373.5128288508227,519.7444128040352,0.19074314796873462,0.046421973888033256,-0.004044123645166524,1387.4959767088014,0.009121302340111773
01avx2fm1t961_processed_2,10.0,3.8595153090625622,NA,NA,0.1,99.6562352274006,66.68057769177628,394.698825066385,461.3552723065941,0.1813985069959004,0.03818294477059004,-0.011375989696844484,1164.2569590745943,0.018612130977761505
01avx2fm1t961_processed_3,10.0,4.301705894377215,NA,NA,0.2,100.62046910892101,67.89382469330236,355.3168750696721,439.1013855622024,0.19934198713926354,0.04320039878416094,-0.014285239786237495,1043.8648466760299,0.025372032789329143
01avx2fm1t961_processed_4,9.173015873015872,4.13456535096731,NA,NA,0.10901558922925979,101.66630554450876,68.78227191828623,381.0250670468088,513.4867031838595,0.19213734756944725,0.038322662218564056,-0.01745618591132595,1025.571986607143,0.028210076960531294
0202on89vhz61_processed_0,10.0,9.19799772817137,NA,NA,0.1,101.83374241496108,70.21238709581931,311.2180921250361,511.62723980140254,0.1731184560978537,0.030371972661096928,-0.028623532705924756,728.5259880227841,0.041822988006300875
0202on89vhz61_processed_1,10.0,7.038110088229345,NA,NA,0.1,101.20384211170075,67.92515954610809,242.97019932892812,520.1457212357099,0.1875173271480411,0.036572626233589804,-0.017716543217198132,612.0827968945068,0.02481801150382671
0202on89vhz61_processed_2,9.26702947845805,1.2869916077350927,NA,NA,0.1079097874177188,101.33516425643222,69.01983235854301,135.18125295902414,524.1658225262499,0.18255610551305024,0.03639387629133521,-0.022722279329561383,790.758012281292,0.0297052922755538
03mglec8fez51_processed_0,10.0,8.590489104163034,3.4,2.6,0.1,100.57605343872365,67.64170693949846,190.21322603932228,342.94858673781636,0.14446407191061472,0.034476429883352505,-0.015613200905276113,1364.377292056804,0.02367452327456461
03mglec8fez51_processed_1,10.0,7.870869518890667,2.6,1.5,0.5,102.11696236348504,67.18127057549276,170.00389173304052,501.6269370123928,0.12825794602287174,0.027728763203746117,-0.01468089087300101,1029.2688338795256,0.021000772530329413
03mglec8fez51_processed_10,10.0,8.2549833357421,3.7,2.2,0.1,98.90807171804698,67.30856355872805,171.40070634174953,289.70591981445057,0.15414824960061851,0.02775553318897806,-0.014140139036166089,1181.1773369225969,0.02141829262037936
03mglec8fez51_processed_11,10.0,9.498355446115163,3.3,2.7,0.4,103.33529134688759,67.2949355698027,186.10285450544924,443.06403859761105,0.13182054256816444,0.03268228818402317,-0.013855681434708332,1196.9480288311486,0.021849883904263453
03mglec8fez51_processed_12,10.0,7.387691924386869,NA,NA,0.1,100.6606503069298,68.14803837389422,146.90327305149987,504.53730154928627,0.1705778817221776,0.026664042343057557,-0.01530751038764427,618.7809671504369,0.026769663366110762
03mglec8fez51_processed_13,10.0,5.512821508595785,2.3,1.4,0.1,99.96835679101733,66.95220050832876,190.35247252150123,315.75936643668075,0.16200809049539155,0.04011433342004313,-0.01475251135699767,806.2297616260923,0.01979241031152681
03mglec8fez51_processed_14,10.0,7.843440820477207,3.6,2.8,0.2,101.58382590126224,66.63180864193393,146.52209435479787,289.94214827397286,0.1426777224372465,0.02776025233412223,-0.011379798122156701,865.713512406367,0.018321897642012724
03mglec8fez51_processed_15,10.0,8.754561667899786,4.2,2.5,0.1,99.57778328540988,66.99396260727842,186.04882158730783,332.0880091016003,0.1416194500693883,0.03104508554445245,-0.012532405644307456,993.3036585127965,0.019940951009843652
03mglec8fez51_processed_16,10.0,9.583637733260238,4.1,2.2,0.2,101.77656920345669,67.82272058551811,193.66608010253688,510.7848278011413,0.13741178370094584,0.02633256643252517,-0.016266703693774892,1195.9732950998753,0.024253458845666803
03mglec8fez51_processed_17,10.0,8.658680721474273,4.1,3.0,0.2,100.56274073674233,68.05616377038095,174.68014914681203,357.91115856909164,0.13188628003927616,0.028631740783880307,-0.01646524507782822,879.4597573345818,0.025740164226241175
