filepath,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy
hqztlcsmm1k51_processed_0,10.0,9.351945654609027,1.1,0.9,1.3,104.64527682747917,69.82880503140535,120.55675735972292,497.2498869614421,0.1158551189554493,0.0144660983418655,-0.0171209009523126,1640.2519311797753,0.0383691062573683
hqztlcsmm1k51_processed_1,10.0,9.145097145051258,0.9,1.1,1.1,106.30704343270274,74.52049488508108,135.1248461410309,479.8236950544858,0.1071726773158257,0.0142597975620362,-0.042526662578006,2004.3774627418848,0.1133450349604148
hqztlcsmm1k51_processed_2,5.290022675736961,10.832683424287987,0.945179584120983,0.3780718336483932,1.5122873345935728,108.55143017739468,74.45821934030297,124.5227399940982,475.8064585663912,0.102530585860391,0.0162403023783888,-0.0623509402212669,1169.8677494840802,0.0589799777613564
hr8n7irrnqk51_processed_0,10.0,7.964481577726804,4.0,3.2,0.9,106.28611505593454,68.11873378386531,105.312791382579,439.8781109364312,0.1300613405291178,0.0196115307007001,-0.0176437491668052,965.911141346754,0.0257805852146654
hr8n7irrnqk51_processed_1,10.0,8.811507007545474,5.4,3.3,0.7,103.67143732889538,70.80299591200406,106.58093419370084,148.89346105480968,0.1188976747415613,0.0208350374370289,-0.0328649825650677,1262.954997659176,0.0478812712244252
hr8n7irrnqk51_processed_10,2.4230385487528343,3.68185193371353,1.650846058605035,0.4127115146512587,1.2381345439537763,97.00191453689472,64.23029747346712,96.13206273883078,74.38203905052033,0.1531986079499945,0.0327635563891872,-0.0073687888897563,1119.1431290064102,0.0028350831781378
hr8n7irrnqk51_processed_2,10.0,8.314490601838486,5.1,3.0,0.9,105.6914852081949,71.99154139711743,107.58271522320672,498.0958972141641,0.1220126950613941,0.0214472243012224,-0.043736520022936,1483.569732170724,0.0629370784942342
hr8n7irrnqk51_processed_3,10.0,8.599375387941762,3.1,1.9,0.7,115.1694136198431,77.86475443549917,118.62213599947992,507.3181751532492,0.1373890628159902,0.0279099825064702,-0.1656573790701957,1303.8688212000625,0.2374379577140789
hr8n7irrnqk51_processed_4,10.0,8.149338178337079,5.3,3.5,0.7,112.22895581544562,78.48682071733671,113.32670663203028,376.9577536107394,0.1263096881262192,0.0253760449535686,-0.2008645367047377,1558.2243387172284,0.2813985733772084
hr8n7irrnqk51_processed_5,10.0,9.252793233271287,5.2,3.3,0.7,108.71865416120264,73.76832713759389,119.02215515781246,362.8120829937204,0.1346563108638012,0.0262913904215086,-0.0674290320529436,1431.3090082709114,0.0948405866559624
hr8n7irrnqk51_processed_6,10.0,8.404601514178612,4.7,3.3,0.9,106.25788579392476,74.12139616545521,122.68504177845128,494.0008776618748,0.1279463918052211,0.0258550090870714,-0.07340735449742,1565.272413389513,0.1028426495318902
hr8n7irrnqk51_processed_7,10.0,8.861395570578066,4.7,3.4,1.0,107.86643183253835,73.9451621510683,119.79700601681188,326.08312235572225,0.1344417049006286,0.0291159259414039,-0.069684312796123,1417.6877292056804,0.0987701661795775
hr8n7irrnqk51_processed_8,10.0,8.763821724855474,4.7,3.0,1.0,112.4557328108247,75.39089518529283,117.75834740717876,486.68516749459945,0.1502019533668347,0.0266031991961134,-0.0929517590449708,1625.9058501092384,0.1365734954692258
hr8n7irrnqk51_processed_9,10.0,8.520308976556262,4.6,3.7,0.9,105.37308559943548,73.07245691397712,124.61992162363084,449.3240427994053,0.1364379674969112,0.0253395789147444,-0.0554948785039626,1446.929741143883,0.081328051895718
hsuk4xsys4w61_processed_0,10.0,7.379433765162676,2.8,1.8,0.9,101.66466965828398,68.86146405363134,152.8571289655696,518.0392775281342,0.1554634559899731,0.0270881454324833,-0.0169926828402676,2071.3091789559926,0.0309838815779027
hsuk4xsys4w61_processed_1,10.0,9.89948114293635,4.6,2.5,2.1,103.34453089211144,69.10126835305145,177.5096311392985,359.8010983990743,0.1403254931529206,0.0250158297358194,-0.0218196057601823,2418.089448735955,0.0327948416375875
hsuk4xsys4w61_processed_10,10.0,6.649897848373362,2.4,1.2,1.1,106.14165658415948,71.91709616384097,187.677878570284,383.96847290527535,0.1464334893297408,0.0219191599996767,-0.0202555235118897,2168.382661321785,0.0620108870848537
hsuk4xsys4w61_processed_11,10.0,7.477528071001422,3.4,1.8,1.4,103.67370195771387,69.1098172632601,174.24613564383006,317.968866609242,0.1455586246859083,0.024677750689277,-0.0173587378694573,2302.371059612984,0.0326010558164271
hsuk4xsys4w61_processed_12,10.0,8.051732852603722,1.8,1.1,0.7,105.01458609197827,71.52226894111261,178.44346149686143,363.9251353551917,0.1338143368884683,0.0244426764614159,-0.0231732569162347,2134.0420421738454,0.0565851702822255
hsuk4xsys4w61_processed_13,10.0,7.800741936552917,2.8,1.4,0.7,106.2653874486548,72.94095292160819,162.66916596782028,333.4860508357114,0.1499674611872721,0.0216915875214448,-0.0353737990493952,2015.7993426186017,0.0784126013970235
hsuk4xsys4w61_processed_14,10.0,8.266741530069922,,,0.6,105.14431853514164,72.87902346793467,185.75060975773692,329.09119752538584,0.1537706663940379,0.0225769056458745,-0.0300698156908234,2007.0267390371407,0.0772441513651526
hsuk4xsys4w61_processed_15,10.0,6.170682186237709,0.7,0.5,0.3,106.02649202283808,72.69805739042464,195.30913203323897,520.0252505488166,0.1506217049909467,0.020180175730799,-0.0242351660541753,1957.665223158552,0.0746817823980527
hsuk4xsys4w61_processed_16,10.0,5.712316265791526,1.1,1.0,0.4,104.8269900147418,73.67617571909527,166.96576088382173,244.9227662166176,0.1555447234208281,0.0251572367091765,-0.0327873608529718,1741.6492324048063,0.0928307362245492
hsuk4xsys4w61_processed_17,10.0,7.591734322751614,1.8,1.2,1.0,104.9878856844304,71.62371546004509,172.14196401330673,337.5351851173044,0.141237041667096,0.0239793653529533,-0.0225437357828352,2026.046543383271,0.058399898290799
hsuk4xsys4w61_processed_18,10.0,8.993008389862378,4.3,1.9,1.8,103.33389659043564,68.621518546207,164.1083717400222,469.03242098572,0.1195893857682412,0.0240068833504221,-0.0177984180322627,2365.828724836142,0.0304970089193714
