filepath,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy
uortapdfw0x51_processed_0,10.0,13.776697302033988,,,2.7,104.73689733889697,67.39667149090789,277.0989214627896,504.8537895695219,0.1121029245990224,0.0210581964103042,-0.0151347758218157,912.3007861267166,0.0218436621544436
uortapdfw0x51_processed_1,10.0,18.78941957446228,,,1.7,104.42360899156785,71.98821162710735,395.5690523667766,503.0178299613676,0.1151035913399005,0.0184073095901199,-0.0354615288527916,907.277158434769,0.0628778609576499
uortapdfw0x51_processed_2,10.0,2.2557797614715698,,,0.7,85.65240308139363,47.648984416229325,92.07711771565629,61.93787552933145,0.2445340234779433,0.0885593702467059,-0.000206074967844,392.4427961142322,0.0002320106379581
uortapdfw0x51_processed_3,10.0,4.979852507276425,,,1.6,88.87868486096178,51.080037179934656,88.46006050697463,321.9047434778678,0.1806813932365994,0.0871592052623723,-0.0004467814718613,489.34132627184766,0.0005103504179666
uortapdfw0x51_processed_4,10.0,13.531267761312558,,,1.9,108.0466920551324,69.39928839819474,376.3814700019515,415.9968700803307,0.111246197686983,0.0160396151915443,-0.020306645577372,937.0690201701,0.0346459084177865
uortapdfw0x51_processed_5,10.0,9.9643084849849,,,1.3,102.35117189240714,66.33341140493572,220.88762637183171,348.7059364754971,0.1276865809796746,0.0283180852014626,-0.0114328885764588,896.1551966292135,0.0170982330884192
uortapdfw0x51_processed_6,10.0,13.403229464397,0.5,0.3,2.8,106.30490851181158,69.98834146923653,337.08915601897195,329.4700618146272,0.1170840475602379,0.0184763426556588,-0.0237433568216111,977.7579051576156,0.0396702442997144
uortapdfw0x51_processed_7,9.357006802721088,10.729398942507093,,,2.671796515977344,103.16115470243042,65.35252476223361,172.46110837438243,306.0951354660698,0.1485109021511,0.0404455712029756,-0.0088511556181456,565.03125,0.0127531886484406
upw3o9xs71p61_processed_0,10.0,4.942667640996141,0.3,0.3,0.1,108.51976855666344,75.55291874616505,238.12584982072863,519.981485134193,0.2013888293088571,0.0279119112121841,-0.0984329655470892,724.4521008895131,0.1433637681753704
upw3o9xs71p61_processed_1,10.0,2.6361942292322382,0.7,0.6,0.1,109.52456677962545,78.09954686456831,192.0912650997936,515.580514161201,0.188233135283764,0.0186615504872654,-0.1820374709303364,541.1021867197253,0.2566742246241629
upw3o9xs71p61_processed_10,10.0,5.991128336096617,,,0.1,107.63683882660952,74.43875197214334,221.27096840485655,512.1055894886566,0.182780154467416,0.0288327808562945,-0.0699801268966368,930.3708499141698,0.1108490542313375
upw3o9xs71p61_processed_11,10.0,5.032382432937932,0.9,0.8,0.1,108.99869192908704,75.1018259822267,193.05090989465415,522.9765308975934,0.1741353535335867,0.0369573256920857,-0.0806052852756277,887.2826203573658,0.1288388724697288
upw3o9xs71p61_processed_12,10.0,5.474647568544022,,,0.1,107.6792231400922,72.91818916897432,174.77386290897857,524.0848824616824,0.1885684899528191,0.0305534673481372,-0.0510803636292872,1073.9816196551185,0.0781310211534728
upw3o9xs71p61_processed_13,10.0,4.733979175620489,,,0.1,108.5539904329798,74.80810825191557,176.29303370426985,518.3708897796662,0.1806589518137359,0.0335062187417146,-0.0826389191813579,841.0702442259675,0.1206985967998383
upw3o9xs71p61_processed_14,10.0,5.745207426653333,1.5,1.2,0.1,108.83001932973804,76.33014721090974,184.7925361096545,520.0574406732521,0.165427109789832,0.022280170421123,-0.116585751859216,1033.567659566167,0.1712865737231477
upw3o9xs71p61_processed_15,10.0,6.288195495538612,0.2,0.1,0.4,106.38235872446572,71.87252022613481,156.28386398386283,513.0222695450072,0.1715952362553791,0.0252242460490506,-0.0448451679863555,1747.9725050717852,0.0613789067441927
upw3o9xs71p61_processed_16,10.0,5.239027813329319,2.0,1.5,0.1,105.38381012464498,72.41074853093421,160.65594935325643,515.9027400313477,0.2204700158358473,0.0360689593417949,-0.0473019715567196,822.0754330524345,0.0693273753753019
upw3o9xs71p61_processed_18,10.0,8.622406443163973,1.1,0.9,0.1,107.74990768045085,72.70341759556638,160.09791589683778,521.5913722235699,0.177219474714377,0.0418122013903177,-0.0494052509109656,1266.129130578964,0.0754143253717629
upw3o9xs71p61_processed_19,10.0,6.85422836802836,0.4,0.4,0.1,107.48650509086922,71.75014337409353,201.72481205744987,523.5089252395815,0.226799910789095,0.0348496826273235,-0.0391679809343952,1041.2655567259676,0.059803092811567
upw3o9xs71p61_processed_2,10.0,6.8044492788941895,0.6,0.4,0.1,108.99304867479856,77.22103783233548,233.432198001066,493.6467015601848,0.1744614725538482,0.0290906568889082,-0.1281678180694653,880.2095525124844,0.2104893317329551
upw3o9xs71p61_processed_20,10.0,5.39043000712328,,,0.1,109.32442210382104,76.21458188218935,249.072155795674,524.2104256654101,0.172609481201466,0.0183896795368908,-0.1106582844003828,740.9475948033707,0.1666005675279642
upw3o9xs71p61_processed_21,10.0,2.4665840733133764,0.5,0.4,0.1,106.0305230864721,74.65713483122133,263.19421970403295,516.8261400325895,0.1971757425171849,0.0259089632354825,-0.0909075664371319,421.6098285346442,0.1174747599631615
upw3o9xs71p61_processed_22,10.0,4.387052782421655,1.5,1.4,0.1,108.59950926394556,75.0021334842428,205.6164122774485,517.3870166103551,0.1925555706755439,0.0274585591395882,-0.0852765256230645,677.2649910268415,0.1269720751026131
upw3o9xs71p61_processed_23,10.0,3.652703497558244,,,0.1,109.3061667797788,74.17593813492816,157.57706352610998,495.47195439766784,0.1474031555174661,0.0222165702648976,-0.0739643772000131,485.9172616260924,0.1042113254287299
upw3o9xs71p61_processed_24,10.0,13.466146461073818,,,0.1,108.71983760932751,78.09023542430273,246.41685307522064,518.943229408308,0.1066893499758949,0.0258681813308226,-0.2195755847693636,1073.331797167603,0.2600349225399841
