file_name,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy,parent_file_train,number_of_segments_train,number_of_voices_parent_train,extra_sounds_train,parent_label_train,segment_label_train,noisy_train,Notes_train
00g8dfgpqpt61_processed_0,10.0,2.071883948,,,0.1,108.5919445,76.42912565,355.3546493,517.8991503,0.193370657,0.039074681,-0.091534185,1711.357507,0.174961891,00g8dfgpqpt61,3,9999,"clapping, coughing",0,0,1,Only laughing
00g8dfgpqpt61_processed_1,10.0,1.548684738,,,0.1,107.10848,78.2073393,409.0304379,491.5379601,0.202199009,0.049623282,-0.09076031,1469.37361,0.263520947,00g8dfgpqpt62,3,9999,clapping,0,0,1,Only laughing
00g8dfgpqpt61_processed_2,9.973015873,2.202972907,,,0.100270731,110.0039344,77.65010159,393.6053278,511.0807786,0.200674479,0.038351719,-0.116676462,1287.538989,0.231452856,00g8dfgpqpt63,3,9999,,0,0,1,Only laughing
01avx2fm1t961_processed_0,10.0,4.541632415,,,0.2,100.0372014,67.43214192,358.0216683,448.4892526,0.201582987,0.035543524,-0.010975252,1251.558111,0.02204748,01avx2fm1t961,5,9999,baby crying,3,3,1,
01avx2fm1t961_processed_1,10.0,3.790801451,,,0.2,98.0410812,63.57034903,373.5128289,519.7444128,0.190743148,0.046421974,-0.004044124,1387.495977,0.009121302,01avx2fm1t961,5,9999,baby crying,3,2,1,
01avx2fm1t961_processed_2,10.0,3.859515309,,,0.1,99.65623523,66.68057769,394.6988251,461.3552723,0.181398507,0.038182945,-0.01137599,1164.256959,0.018612131,01avx2fm1t961,5,9999,baby crying,3,2,1,
01avx2fm1t961_processed_3,10.0,4.301705894,,,0.2,100.6204691,67.89382469,355.3168751,439.1013856,0.199341987,0.043200399,-0.01428524,1043.864847,0.025372033,01avx2fm1t961,5,9999,,3,2,1,
01avx2fm1t961_processed_4,9.173015873,4.134565351,,,0.109015589,101.6663055,68.78227192,381.025067,513.4867032,0.192137348,0.038322662,-0.017456186,1025.571987,0.028210077,01avx2fm1t961,5,9999,,3,2,1,
0202on89vhz61_processed_0,10.0,9.197997728,,,0.1,101.8337424,70.2123871,311.2180921,511.6272398,0.173118456,0.030371973,-0.028623533,728.525988,0.041822988,0202on89vhz61,3,1,crowd,0,0,0,
0202on89vhz61_processed_1,10.0,7.038110088,,,0.1,101.2038421,67.92515955,242.9701993,520.1457212,0.187517327,0.036572626,-0.017716543,612.0827969,0.024818012,0202on89vhz61,3,1,crowd,0,0,0,
0202on89vhz61_processed_2,9.267029478,1.286991608,,,0.107909787,101.3351643,69.01983236,135.181253,524.1658225,0.182556106,0.036393876,-0.022722279,790.7580123,0.029705292,0202on89vhz61,3,1,"crowd, motor bike",0,0,0,
03mglec8fez51_processed_0,10.0,8.590489104,3.4,2.6,0.1,100.5760534,67.64170694,190.213226,342.9485867,0.144464072,0.03447643,-0.015613201,1364.377292,0.023674523,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_1,10.0,7.870869519,2.6,1.5,0.5,102.1169624,67.18127058,170.0038917,501.626937,0.128257946,0.027728763,-0.014680891,1029.268834,0.021000773,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_10,10.0,8.254983336,3.7,2.2,0.1,98.90807172,67.30856356,171.4007063,289.7059198,0.15414825,0.027755533,-0.014140139,1181.177337,0.021418293,03mglec8fez51,26,1,calm music,1,1,0,
